x y z n.x n.y n.z
0.03125 0.496073 0.203125 -0.0475506 -0.998562 -0.0247659
0.015625 0.496817 0.203125 -0.0475506 -0.998562 -0.0247659
0.015625 0.496836 0.203125 -0.0475481 -0.998511 -0.0267458
0.03125 0.496092 0.203125 -0.0475481 -0.998511 -0.0267458
0.03125 0.495674 0.21875 -0.0475481 -0.998511 -0.0267458
0.015625 0.496418 0.21875 -0.0475481 -0.998511 -0.0267458
0 0.496775 0.21875 -0.0158645 -0.999461 -0.0287543
0.015625 0.496527 0.21875 -0.0158645 -0.999461 -0.0287543
0.015625 0.496077 0.234375 -0.0158645 -0.999461 -0.0287543
0 0.496325 0.234375 -0.0158645 -0.999461 -0.0287543
0 0.496338 0.234375 -0.0158635 -0.999402 -0.0307356
0.015625 0.49609 0.234375 -0.0158635 -0.999402 -0.0307356
0.015625 0.49561 0.25 -0.0158635 -0.999402 -0.0307356
0 0.495858 0.25 -0.0158635 -0.999402 -0.0307356
0.015625 0.496441 0.21875 -0.0475455 -0.998456 -0.0287254
0.03125 0.495697 0.21875 -0.0475455 -0.998456 -0.0287254
0.03125 0.495247 0.234375 -0.0475455 -0.998456 -0.0287254
0.015625 0.495991 0.234375 -0.0475455 -0.998456 -0.0287254
0.015625 0.496018 0.234375 -0.0475427 -0.998397 -0.0307047
0.03125 0.495274 0.234375 -0.0475427 -0.998397 -0.0307047
0.03125 0.494793 0.25 -0.0475427 -0.998397 -0.0307047
0.015625 0.495537 0.25 -0.0475427 -0.998397 -0.0307047
0.03125 0.496432 0.1875 -0.0790921 -0.996561 -0.0247163
0.046875 0.495191 0.1875 -0.0790921 -0.996561 -0.0247163
0.046875 0.494804 0.203125 -0.0790921 -0.996561 -0.0247163
0.03125 0.496044 0.203125 -0.0790921 -0.996561 -0.0247163
0.03125 0.496075 0.203125 -0.0790881 -0.99651 -0.0266922
0.046875 0.494835 0.203125 -0.0790881 -0.99651 -0.0266922
0.046875 0.494417 0.21875 -0.0790881 -0.99651 -0.0266922
0.03125 0.495657 0.21875 -0.0790881 -0.99651 -0.0266922
0.046875 0.495275 0.1875 -0.110398 -0.993582 -0.0246424
0.0625 0.493539 0.1875 -0.110398 -0.993582 -0.0246424
0.0625 0.493152 0.203125 -0.110398 -0.993582 -0.0246424
0.046875 0.494888 0.203125 -0.110398 -0.993582 -0.0246424
0.046875 0.494931 0.203125 -0.110392 -0.993532 -0.0266125
0.0625 0.493195 0.203125 -0.110392 -0.993532 -0.0266125
0.0625 0.492776 0.21875 -0.110392 -0.993532 -0.0266125
0.046875 0.494512 0.21875 -0.110392 -0.993532 -0.0266125
0.03125 0.495693 0.21875 -0.0790838 -0.996456 -0.0286679
0.046875 0.494452 0.21875 -0.0790838 -0.996456 -0.0286679
0.046875 0.494003 0.234375 -0.0790838 -0.996456 -0.0286679
0.03125 0.495243 0.234375 -0.0790838 -0.996456 -0.0286679
0.03125 0.495283 0.234375 -0.0790791 -0.996397 -0.0306432
0.046875 0.494043 0.234375 -0.0790791 -0.996397 -0.0306432
0.046875 0.493562 0.25 -0.0790791 -0.996397 -0.0306432
0.03125 0.494802 0.25 -0.0790791 -0.996397 -0.0306432
0.046875 0.49456 0.21875 -0.110386 -0.993478 -0.0285822
0.0625 0.492824 0.21875 -0.110386 -0.993478 -0.0285822
